image_id,file_name,block,algorithm,resolution,pck,kp_vis,kp_det,tiempo_ms
83540,000000083540.jpg,outdoor,blazepose,medium,0.0,16,0,9.3
537506,000000537506.jpg,outdoor,blazepose,high,0.0,10,0,9.2
53529,000000053529.jpg,outdoor,blazepose,low,0.0,2,0,9.1
7088,000000007088.jpg,outdoor,movenet,medium,100.0,17,17,18.1
13659,000000013659.jpg,indoor,movenet,medium,0.0,15,14,17.8
325483,000000325483.jpg,indoor,movenet,low,85.71,14,13,18.1
432085,000000432085.jpg,indoor,movenet,low,100.0,5,7,18.1
450399,000000450399.jpg,indoor,blazepose,low,0.0,9,0,9.3
66771,000000066771.jpg,indoor,blazepose,low,100.0,9,17,70.7
341973,000000341973.jpg,outdoor,blazepose,medium,83.33,6,17,70.5
296649,000000296649.jpg,outdoor,movenet,medium,100.0,13,16,18.0
411754,000000411754.jpg,indoor,blazepose,medium,0.0,12,17,70.7
484351,000000484351.jpg,indoor,movenet,medium,0.0,15,12,18.1
435208,000000435208.jpg,indoor,blazepose,low,0.0,14,0,9.2
366884,000000366884.jpg,indoor,blazepose,medium,0.0,11,0,9.2
425221,000000425221.jpg,outdoor,blazepose,high,0.0,8,0,9.2
470779,000000470779.jpg,outdoor,movenet,high,43.75,16,14,17.7
554595,000000554595.jpg,outdoor,movenet,high,69.23,13,10,18.2
53626,000000053626.jpg,outdoor,movenet,low,64.71,17,12,18.3
427034,000000427034.jpg,indoor,movenet,medium,0.0,1,6,17.9
546219,000000546219.jpg,indoor,blazepose,high,0.0,9,17,70.6
336209,000000336209.jpg,outdoor,blazepose,medium,100.0,14,17,70.2
332570,000000332570.jpg,indoor,movenet,high,0.0,1,1,18.4
394206,000000394206.jpg,outdoor,movenet,low,87.5,16,15,18.0
260261,000000260261.jpg,outdoor,blazepose,medium,100.0,11,17,70.4
159399,000000159399.jpg,outdoor,movenet,high,100.0,11,17,18.1
201426,000000201426.jpg,indoor,movenet,high,90.0,10,11,18.4
499622,000000499622.jpg,outdoor,blazepose,low,100.0,11,17,70.3
381971,000000381971.jpg,outdoor,blazepose,low,0.0,8,0,70.0
229111,000000229111.jpg,indoor,blazepose,medium,100.0,8,17,70.5
466125,000000466125.jpg,indoor,movenet,medium,100.0,13,13,18.1
570756,000000570756.jpg,outdoor,movenet,low,100.0,13,17,17.8
331604,000000331604.jpg,outdoor,blazepose,high,100.0,13,17,70.5
500270,000000500270.jpg,outdoor,blazepose,high,100.0,12,17,70.9
302452,000000302452.jpg,indoor,blazepose,low,0.0,8,0,9.4
378284,000000378284.jpg,indoor,movenet,medium,75.0,4,5,18.4
82696,000000082696.jpg,indoor,movenet,medium,75.0,4,4,18.2
376093,000000376093.jpg,indoor,movenet,low,53.85,13,12,18.5
6460,000000006460.jpg,outdoor,movenet,high,35.71,14,5,18.3
118921,000000118921.jpg,outdoor,movenet,medium,100.0,17,17,18.7
500270,000000500270.jpg,outdoor,movenet,medium,58.33,12,10,18.3
369442,000000369442.jpg,outdoor,movenet,low,0.0,16,5,18.3
326128,000000326128.jpg,outdoor,movenet,low,100.0,15,17,18.7
448076,000000448076.jpg,indoor,movenet,high,0.0,16,13,18.5
394940,000000394940.jpg,indoor,movenet,medium,100.0,8,11,18.5
151000,000000151000.jpg,indoor,blazepose,medium,0.0,15,0,9.3
13659,000000013659.jpg,indoor,blazepose,high,0.0,15,17,70.6
209530,000000209530.jpg,indoor,blazepose,high,100.0,10,17,70.6
260261,000000260261.jpg,outdoor,blazepose,low,100.0,11,17,70.4
416451,000000416451.jpg,indoor,blazepose,low,100.0,12,17,70.3
164885,000000164885.jpg,outdoor,blazepose,low,100.0,16,17,70.4
192607,000000192607.jpg,outdoor,movenet,medium,100.0,16,17,18.8
376093,000000376093.jpg,indoor,blazepose,medium,0.0,13,17,70.3
296649,000000296649.jpg,outdoor,movenet,high,100.0,13,16,18.7
83540,000000083540.jpg,outdoor,blazepose,high,0.0,16,0,9.3
404805,000000404805.jpg,outdoor,blazepose,high,100.0,9,17,70.2
334399,000000334399.jpg,indoor,movenet,low,18.75,16,13,18.9
397133,000000397133.jpg,indoor,blazepose,low,100.0,13,17,70.3
233727,000000233727.jpg,outdoor,movenet,low,56.25,16,10,18.4
488592,000000488592.jpg,outdoor,movenet,low,100.0,9,17,18.1
549390,000000549390.jpg,outdoor,blazepose,high,100.0,15,17,70.4
186042,000000186042.jpg,outdoor,movenet,low,78.57,14,14,18.8
537270,000000537270.jpg,indoor,blazepose,high,100.0,10,17,70.5
515077,000000515077.jpg,indoor,blazepose,high,0.0,4,0,9.4
296224,000000296224.jpg,outdoor,movenet,high,0.0,4,14,18.2
274708,000000274708.jpg,outdoor,movenet,high,0.0,12,17,18.8
451155,000000451155.jpg,indoor,movenet,low,42.86,7,8,17.3
117425,000000117425.jpg,indoor,blazepose,medium,100.0,11,17,70.1
189752,000000189752.jpg,indoor,movenet,high,33.33,6,11,18.9
369442,000000369442.jpg,outdoor,movenet,high,0.0,16,17,18.2
128699,000000128699.jpg,outdoor,blazepose,high,100.0,12,17,70.3
445834,000000445834.jpg,outdoor,movenet,low,92.86,14,14,20.3
156643,000000156643.jpg,indoor,movenet,medium,100.0,11,17,18.5
345385,000000345385.jpg,indoor,movenet,high,62.5,8,9,18.1
402720,000000402720.jpg,indoor,movenet,low,70.0,10,12,18.0
447611,000000447611.jpg,indoor,movenet,medium,0.0,1,0,18.3
255483,000000255483.jpg,indoor,blazepose,high,0.0,3,0,9.3
66231,000000066231.jpg,indoor,movenet,low,85.71,14,15,18.3
